country_code,vat_type_id,vat_rate
HU,683982264,0.27
FI,12251759,0.255
HR,62483461,0.25
DK,151749498,0.25
SE,1821230857,0.25
EL,512327435,0.24
IE,1888983086,0.23
PT,1847779631,0.23
PL,1861644882,0.23
SI,664062094,0.22
IT,1773863749,0.22
LV,1663343146,0.21
LT,85331293,0.21
CZ,755127267,0.21
BE,1660200435,0.21
ES,1867599932,0.21
NL,701184043,0.21
EE,2005057554,0.2
AT,239530583,0.2
SK,769125398,0.2
FR,1840789222,0.2
RO,1668870141,0.19
DE,1800416411,0.19
MT,1468734218,0.19
LU,1269587923,0.16
Margin,688369464,0
Zero,681363806,0
